river_basin,site_no,comid,station_nm,latitude,longitude,drain_area,begin_date_dv,end_date_dv,begin_date_uv,end_date_uv,Notes
Jewett Brook,4292810,4587092,"JEWETT BROOK AT VT 38, NEAR ST. ALBANS, VT",44.85611,-73.15083,3.74,10/1/2008,11/20/2023,10/1/2008,11/21/2023,
Mill River,4292750,4587100,"MILL RIVER AT GEORGIA SHORE RD, NR ST ALBANS, VT",44.7797674,-73.1437467,22.3,10/20/2010,2/22/2023,10/21/2010,2/23/2023,
Laplatte River,4282795,4578818,"LAPLATTE RIVER AT SHELBURNE FALLS, VT.",44.3700512,-73.2162367,44.6,3/1/1990,2/21/2023,10/24/1990,2/23/2023,
Little Chazy River,4271815,9521395,LITTLE CHAZY RIVER NEAR CHAZY NY,44.9022222,-73.415,50.3,3/1/1990,2/22/2023,10/1/1990,2/23/2023,
Little Otter Creek,4282650,22220501,"LITTLE OTTER CREEK AT FERRISBURG, VT.",44.19810987,-73.2490117,57.1,3/1/1990,2/22/2023,10/29/1990,2/23/2023,
Salmon River,4273700,9527383,SALMON RIVER AT SOUTH PLATTSBURGH NY,44.64,-73.4947222,63.3,5/1/1959,2/22/2023,10/1/1990,2/23/2023,
Little Ausable River,4273800,9527387,LITTLE AUSABLE RIVER NEAR VALCOUR NY,44.59416667,-73.4961111,67.8,10/1/1991,2/22/2023,10/1/1991,2/23/2023,
Lewis Creek,4282780,22220497,"LEWIS CREEK AT NORTH FERRISBURG, VT.",44.24922015,-73.22845688,77.2,3/1/1990,2/22/2023,3/2/1990,2/23/2023,
Mettawee River,4280450,10313430,METTAWEE RIVER NEAR MIDDLE GRANVILLE NY,43.46394444,-73.2845,167,3/1/1990,2/22/2023,10/1/1990,2/23/2023,
Poultney River,4280000,10312666,"POULTNEY RIVER BELOW FAIR HAVEN, VT",43.6242324,-73.3115011,187,10/1/1928,2/22/2023,10/1/1990,2/23/2023,
Great Chazy River,4271500,9525609,GREAT CHAZY RIVER AT PERRY MILLS NY,44.9996111,-73.5020833,243,9/15/1928,2/22/2023,10/1/1990,2/23/2023,
Bouquet River,4276500,9528597,BOQUET RIVER AT WILLSBORO NY,44.3583333,-73.3944444,270,7/23/1923,2/22/2023,10/1/1990,2/23/2023,
Ausable River,4275500,9528411,AUSABLE RIVER NEAR AU SABLE FORKS NY,44.4516944,-73.64338889,446,8/17/1910,2/22/2023,10/1/1990,2/23/2023,
Saranac River,4273500,9521459,SARANAC RIVER AT PLATTSBURGH NY,44.68166667,-73.4711111,608,3/27/1903,2/22/2023,10/1/1990,2/23/2023,
Otter Creek,4282500,22220605,"OTTER CREEK AT MIDDLEBURY, VT",44.01311488,-73.1678954,628,4/1/1903,2/22/2023,10/1/1990,2/23/2023,
Lamoille River,4292500,4587250,"LAMOILLE RIVER AT EAST GEORGIA, VT",44.67921477,-73.0726365,686,8/26/1929,2/22/2023,10/1/1989,2/23/2023,
Missisquoi River,4294000,166176984,"MISSISQUOI RIVER AT SWANTON, VT",44.91670937,-73.1284645,850,3/1/1990,2/22/2023,2/7/1991,2/23/2023,
Winooski River,4290500,4578836,"WINOOSKI RIVER NEAR ESSEX JUNCTION, VT",44.47893867,-73.1387381,1044,10/1/1928,2/22/2023,10/1/1990,2/23/2023,
